# country|state|city|costEstimate|ecoScore
India|Kerala|Kochi|2500|7
India|Kerala|Munnar|3000|8
India|Kerala|Thekkady|2200|8
India|Tamil Nadu|Chennai|2800|6
India|Tamil Nadu|Ooty|3200|9
India|Maharashtra|Mumbai|3500|5

# India
India|Rajasthan|Jaipur|3400|7
India|Rajasthan|Udaipur|3600|7
India|Rajasthan|Jodhpur|3200|7
India|Delhi|New Delhi|3000|6
India|Goa|Panjim|3800|7
India|Goa|Calangute|3600|7
India|Goa|Baga|3400|7
India|Karnataka|Bengaluru|2900|6
India|Karnataka|Mysuru|2700|7
India|Karnataka|Coorg|3300|8
India|Himachal Pradesh|Manali|4000|8
India|Himachal Pradesh|Shimla|3800|8
India|Himachal Pradesh|Dharamshala|3500|8

# Japan (using prefecture as state)
Japan|Tokyo|Shinjuku|5200|8
Japan|Tokyo|Asakusa|5000|8
Japan|Kyoto|Gion|4800|9
Japan|Osaka|Namba|4700|8
Japan|Hokkaido|Sapporo|5500|9
Japan|Hiroshima|Hiroshima City|4600|8
Japan|Nara|Nara City|4200|9
Japan|Okinawa|Naha|5300|9
Japan|Kanagawa|Yokohama|4800|8

# Italy (regions as state)
Italy|Lazio|Rome|5200|7
Italy|Veneto|Venice|6000|7
Italy|Tuscany|Florence|5800|8
Italy|Lombardy|Milan|6100|6
Italy|Campania|Naples|5000|7
Italy|Piedmont|Turin|4800|7
Italy|Emilia-Romagna|Bologna|4900|7
Italy|Tuscany|Pisa|4700|8

# France (regions/cities as state)
France|Île-de-France|Paris|6500|6
France|Provence-Alpes-Côte d'Azur|Nice|6000|7
France|Auvergne-Rhône-Alpes|Lyon|5600|7
France|Provence-Alpes-Côte d'Azur|Marseille|5500|6
France|Nouvelle-Aquitaine|Bordeaux|5400|7
France|Occitanie|Toulouse|5200|7
France|Hauts-de-France|Lille|5000|7
France|Provence-Alpes-Côte d'Azur|Cannes|6200|7

# USA
USA|California|Los Angeles|6200|6
USA|California|San Francisco|6500|7
USA|Florida|Miami|5800|6
USA|Texas|Dallas|5200|6
USA|New York|New York City|7000|5
USA|Nevada|Las Vegas|6000|5
USA|Washington|Seattle|6100|6
USA|Hawaii|Honolulu|7500|7
USA|Illinois|Chicago|5900|6

# Australia (states as state)
Australia|New South Wales|Sydney|6800|7
Australia|Victoria|Melbourne|6400|7
Australia|Western Australia|Perth|6300|7
Australia|Queensland|Brisbane|6100|7
Australia|South Australia|Adelaide|5900|7
Australia|Northern Territory|Darwin|6000|8
Australia|Australian Capital Territory|Canberra|5700|7
Australia|Tasmania|Hobart|5600|8

# UAE (emirates as state)
UAE|Dubai|Dubai|6200|5
UAE|Abu Dhabi|Abu Dhabi|6000|6
UAE|Sharjah|Sharjah|5200|6
UAE|Fujairah|Fujairah|5000|7
UAE|Ajman|Ajman|4900|6
UAE|Ras Al Khaimah|Ras Al Khaimah|5100|7
UAE|Umm Al Quwain|Umm Al Quwain|4800|7
UAE|Al Ain|Al Ain|5200|7
